Configuration[
MAP_NUM_ROWS=14
MAP_NUM_COLS=2
MAX_NUM_MOVING_OBJECTS=9
NUM_WALLS=10
ARRAY_WALLS=[(1,1);(6,1);(4,0);(5,1);(2,0);(1,1);(5,0);(2,1);(7,1);(7,1)]
NUM_FAKE_WALLS=5
ARRAY_FAKE_WALLS=[(2,0);(4,0);(7,1);(6,1);(8,1)]
SHERLOCK_MOVING_RULE=RRURLDRRD
SHERLOCK_INIT_POS=(6,0)
SHERLOCK_INIT_HP=46
SHERLOCK_INIT_EXP=655
WATSON_MOVING_RULE=ULUULLD
WATSON_INIT_POS=(1,0)
WATSON_INIT_HP=55
WATSON_INIT_EXP=317
CRIMINAL_INIT_POS=(10,0)
NUM_STEPS=29
]
*********************************************************
ROUND : 0 - TURN : 0
     |    0|    1|
    0|     |     |
    1|  (W)|IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|  (C)|     |
   12|     |     |
   13|     |     |
*********************************************************
ROUND : 0 - TURN : 1
     |    0|    1|
    0|     |     |
    1|  (W)|IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|  (C)|     |
   12|     |     |
   13|     |     |
*********************************************************
ROUND : 0 - TURN : 2
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|  (C)|     |
   12|     |     |
   13|     |     |
*********************************************************
ROUND : 1 - TURN : 0
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|  (C)|     |
   13|     |     |
*********************************************************
ROUND : 1 - TURN : 1
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|  (C)|     |
   13|     |     |
*********************************************************
ROUND : 1 - TURN : 2
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|  (C)|     |
   13|     |     |
*********************************************************
ROUND : 2 - TURN : 0
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|  (c)|     |
   13|  (C)|     |
*********************************************************
ROUND : 2 - TURN : 1
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|  (c)|     |
   13|  (C)|     |
*********************************************************
ROUND : 2 - TURN : 2
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|  (c)|     |
   13|  (C)|     |
*********************************************************
ROUND : 2 - TURN : 3
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|     |     |
   13| (Cc)|     |
*********************************************************
ROUND : 3 - TURN : 0
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|     |     |
   13|  (c)|  (C)|
*********************************************************
ROUND : 3 - TURN : 1
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|     |     |
   13|  (c)|  (C)|
*********************************************************
ROUND : 3 - TURN : 2
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|     |     |
   13|  (c)|  (C)|
*********************************************************
ROUND : 3 - TURN : 3
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|     |     |
   13|     | (Cc)|
*********************************************************
ROUND : 4 - TURN : 0
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|     |  (C)|
   13|     |  (c)|
*********************************************************
ROUND : 4 - TURN : 1
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|     |  (C)|
   13|     |  (c)|
*********************************************************
ROUND : 4 - TURN : 2
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|     |  (C)|
   13|     |  (c)|
*********************************************************
ROUND : 4 - TURN : 3
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
    6|  (S)|IIIII|
    7|     |IIIII|
    8|     |-----|
    9|     |     |
   10|     |     |
   11|     |     |
   12|     | (Cc)|
   13|     |     |
*********************************************************
ROUND : 5 - TURN : 0
     |    0|    1|
    0|  (W)|     |
    1|     |IIIII|
    2|IIIII|IIIII|
    3|     |     |
    4|IIIII|     |
    5|IIIII|IIIII|
