Configuration[
MAP_NUM_ROWS=14
MAP_NUM_COLS=15
MAX_NUM_MOVING_OBJECTS=3
NUM_WALLS=9
ARRAY_WALLS=[(2,6);(0,1);(12,8);(10,1);(12,13);(10,6);(10,1);(11,14);(11,14)]
NUM_FAKE_WALLS=8
ARRAY_FAKE_WALLS=[(1,0);(10,7);(5,11);(8,14);(10,5);(7,11);(13,11);(13,11)]
SHERLOCK_MOVING_RULE=RDDLR
SHERLOCK_INIT_POS=(4,12)
SHERLOCK_INIT_HP=70
SHERLOCK_INIT_EXP=225
WATSON_MOVING_RULE=DDR
WATSON_INIT_POS=(2,12)
WATSON_INIT_HP=84
WATSON_INIT_EXP=687
CRIMINAL_INIT_POS=(0,9)
NUM_STEPS=20
]
*********************************************************
ROUND : 0 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|   13|   14|
    0|     |IIIII|     |     |     |     |     |     |  (C)|     |     |     |     |     |     |
    1|-----|     |     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |     |     |IIIII|     |     |     |     |     |  (W)|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |  (S)|     |     |
    5|     |     |     |     |     |     |     |     |     |     |     |-----|     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |-----|     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |     |     |-----|
    9|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |     |     |-----|IIIII|-----|     |     |     |     |     |     |     |
   11|     |     |     |     |     |     |     |     |     |     |     |     |     |     |IIIII|
   12|     |     |     |     |     |     |     |     |IIIII|     |     |     |     |IIIII|     |
   13|     |     |     |     |     |     |     |     |     |     |     |-----|     |     |     |
*********************************************************
ROUND : 0 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|   10|   11|   12|   13|   14|
    0|     |IIIII|     |     |     |     |     |     |  (C)|     |     |     |     |     |     |
    1|-----|     |     |     |     |     |     |     |     |     |     |     |     |     |     |
    2|     |     |     |     |     |     |IIIII|     |     |     |     |     |  (W)|     |     |
    3|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
    4|     |     |     |     |     |     |     |     |     |     |     |     |     |  (S)|     |
    5|     |     |     |     |     |     |     |     |     |     |     |-----|     |     |     |
    6|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |     |-----|     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |     |     |     |     |-----|
    9|     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
